Num;Nom de votre structure;Nature de votre structure;Adresse e-mail de votre structure;Numéro de téléphone de votre structure;Site internet de votre structure;Numéro de rue;Nom de rue;Code postal;Ville;Accompagnez-vous des publics spécifiques?;Quel type d'accompagnement ?;Quels sont les horaires;Quelles sont les conditions d'accès à vos services ? (adhésion préalable, prise de rdv,...);Quels sont les tarifs appliqués ?;Quel(s) service(s) proposez-vous?;Quel type d'équipement est en accès libre ?;Dans quel(s) domaine(s) proposez-vous une assistance ?;Quelles actions de formation et/ou d'accompagnement proposez-vous ?;Précision et complément d'information sur vos actions de formation et/ou d'accompagnement ?;;Présentation sommaire de votre structure (max 200 caractères);Présentation globale de l'implication de votre structure en matière d'inclusion numérique (max 200 caractères)
58;commune de Casteljaloux;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);c.henriot@mairie-casteljaloux.fr;553934810;mairie-casteljaloux.fr;hotel de ville;place de la République;47700;Casteljaloux;Tout public;Individuel;lundi au vendredi 8h30-12h et 14h-17h30;en fonction des cas de figure;gratuit;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager);Ordinateur (fixe ou portable), Imprimante, Accés à internet;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...);;;J’accepte les présentes Conditions Générales d'utilisation.;Bibliothèque municipale et CCAS;
59;Centre médico social de Villeneuve sur Lot;Centre Médico-Social;Accueil.CMSVilleneuve@lotetgaronne.fr;553362323;http://www.lotetgaronne.fr/;1;place d'Aquitaine;47300;Villeneuve sur Lot;Tout public;Individuel;Du lundi au vendredi de 9h à 12h et 14h à 17h;Sur rendez-vous;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;Actions sociales / Insertion / Enfance / Actions de santé / Centre de planification / Personnes âgées et personnes handicapées;Accès aux droits
60;Centre médico social de Villeneuve sur Lot - permanence délocalisée Penne d'Agenais;Centre Médico-Social;Accueil.CMSVilleneuve@lotetgaronne.fr;553362323;http://www.lotetgaronne.fr/;Bibliothèque;10 rue du 14 juillet;47140;Penne d’Agenais;Tout public;Individuel;Du lundi au vendredi de 9h à 12h et 14h à 17h;Sur rendez-vous;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;Actions sociales / Insertion / Enfance / Actions de santé / Centre de planification / Personnes âgées et personnes handicapées;Accès aux droits
61;Centre médico social de Villeneuve sur Lot / Permanence délocalisée Saint Sylvestre sur Lot;Centre Médico-Social;Accueil.CMSVilleneuve@lotetgaronne.fr;553362323;http://www.lotetgaronne.fr/;Mairie;Rue République;47140;Saint Sylvestre;Tout public;Individuel;Du lundi au vendredi de 9h à 12h et 14h à 17h;Sur rendez-vous;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;Actions sociales / Insertion / Enfance / Actions de santé / Centre de planification / Personnes âgées et personnes handicapées;Accès aux droits
62;Centre médico social de Villeneuve sur Lot / Permanence délocalisée Casseneuil;Centre Médico-Social;Accueil.CMSVilleneuve@lotetgaronne.fr;553362323;http://www.lotetgaronne.fr/;Maison de santé;Place du 11 novembre;47440;Casseneuil;Tout public;Individuel;Du lundi au vendredi de 9h à 12h et 14h à 17h;Sur rendez-vous;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;Actions sociales / Insertion / Enfance / Actions de santé / Centre de planification / Personnes âgées et personnes handicapées;Accès aux droits
63;Centre médico social de Villeneuve sur Lot / Permanence délocalisée Sainte Livrade sur Lot;Centre Médico-Social;Accueil.CMSVilleneuve@lotetgaronne.fr;553362323;http://www.lotetgaronne.fr/;Maison pour tous ;avenue Gustave Carrère;47110;Sainte Livrade sur Lot;Tout public;Individuel;Du lundi au vendredi de 9h à 12h et 14h à 17h;Sur rendez-vous;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;Actions sociales / Insertion / Enfance / Actions de santé / Centre de planification / Personnes âgées et personnes handicapées;Accès aux droits
64;Centre médico social de Villeneuve sur Lot / Permanence délocalisée;Centre Médico-Social;Accueil.CMSVilleneuve@lotetgaronne.fr;553362323;http://www.lotetgaronne.fr/;Mairie;Avenue Quercy;47290;Cancon;Tout public;Individuel;Du lundi au vendredi de 9h à 12h et 14h à 17h;Sur rendez-vous;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;Actions sociales / Insertion / Enfance / Actions de santé / Centre de planification / Personnes âgées et personnes handicapées;Accès aux droits
65;Centre médico social de Villeneuve sur Lot / Permanence délocalisée Monbahus;Centre Médico-Social;Accueil.CMSVilleneuve@lotetgaronne.fr;553362323;http://www.lotetgaronne.fr/;Mairie;Le Bourg;47490;Monbahus;Tout public;Individuel;Du lundi au vendredi de 9h à 12h et 14h à 17h;Sur rendez-vous;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;Actions sociales / Insertion / Enfance / Actions de santé / Centre de planification / Personnes âgées et personnes handicapées;Accès aux droits
66;Centre médico social de Villeneuve sur Lot / Permanence délocalisée Monclar;Centre Médico-Social;Accueil.CMSVilleneuve@lotetgaronne.fr;553362323;http://www.lotetgaronne.fr/;salle Billou;Face à la Mairie;47380;Monclar;Tout public;Individuel;Du lundi au vendredi de 9h à 12h et 14h à 17h;Sur rendez-vous;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;Actions sociales / Insertion / Enfance / Actions de santé / Centre de planification / Personnes âgées et personnes handicapées;Accès aux droits
67;MAIRIE DE RAZIMET;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairierazimet@collectivite47.fr;553790818;;;36 Route de Moncassin;47160;RAZIMET;Tout public;Individuel;mardi et vendredi de 13h30 à 17h30;-;gratuit;Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager);;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
68;CARSAT Aquitaine;Opérateur de service essentiel (CAF, MSA, CPAM, Pôle Emploi, Mission Locale, SNCF, SAUR,...);contact@carsat-aquitaine.fr;3960;https://www.carsat-aquitaine.fr/;80;avenue de la Jallère;33053;BORDEAUX;Plus de 60 ans, accès aux soins et prevention de la désinsertion professionnelle;Individuel, Collectif;8 h / 17 h;Prise de Rendez-vous;-;Formation visant l'autonomie numérique (apprendre à faire + certification);;;Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Utilisation de réseaux sociaux;Actions réalisées via un réseau d'opérateurs locaux (ASEPT notamment);J’accepte les présentes Conditions Générales d'utilisation.;Caisse d'Assurance Retraite;Financement d'actions en faveur de l'inclusion numérique
69;Centre MédicoSocial de TONNEINS;Centre Médico-Social;accueil.CMSTonneins@lotetgaronne.fr;05.53.84.17.50;www.lotetgaronne.fr;6;Avenue du Docteur Vautrain;47400;TONNEINS;Tout public;Individuel;Du Lundi au Vendredi de 8h30à 12h et de 14h à 17h;Sur RV ;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;Aucun;Aucun;Aucunes;;J’accepte les présentes Conditions Générales d'utilisation.;;
70;CMS de TONNEINS;Centre Médico-Social;Accueil.CMSTonneins@lotetgaronne.fr;05.53.84.17.50;www.lotetgaronne.fr1;1;Cours Alsace Lorraine;47190;AIGUILLON;Tout public;Individuel;Mardi et Vendredi de 8h30 à 12h;Sur RV;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;Aucun;Aucun;Aucunes;;J’accepte les présentes Conditions Générales d'utilisation.;;
71;CMS de TONNEINS;Centre Médico-Social;Accueil.CMSTonneins@lotetgaronne.fr;05.53.84.17.50;www.lotetgaronne.fr;32;Avenue du 8 Mai 1945;47700;CASTELJALOUX;Tout public;Individuel;Mardi et Jeudi de 8h30à 12h;Sur RV;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;Aucun;Aucuns;Aucunes;;J’accepte les présentes Conditions Générales d'utilisation.;;
72;CMS de Tonneins;Centre Médico-Social;Accueil.CMSTonneins@lotetgaronne.fr;05.53.84.17.50;www.lotetgaronne.fr;4;Rue Jean Jaurès;47320;CLAIRAC;Tout public;Individuel;2ème,3ème,4ème et 5ème Jeudi de 9h à 12h;Sur RV;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;Aucun;Aucuns;Aucunes;;J’accepte les présentes Conditions Générales d'utilisation.;;
73;CMS de TONNEINS;Centre Médico-Social;Accueil.CMSTonneins@lotetgaronne.fr;05.53.84.17.50;www.lotetgaronne.fr;;Place Armand Fallières ( Mairie Annexe);47160;DAMAZAN;Tout public;Individuel;2ème et 4ème Jeudi de 9h à 12h;Sur RV;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;Aucun;Non;Aucunes;;J’accepte les présentes Conditions Générales d'utilisation.;;
74;CMS de TONNEINS;Centre Médico-Social;Accueil.CMSTonneins@lotetgaronne.fr;05.53.84.17.50;www.lotetgaronne.fr;;Place du Foirail;47400;GONTAUD DE NOGARET;Tout public;Individuel;1er Jeudi de 9h à 12h;Sur RV;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;Aucun;Non;Aucunes;;J’accepte les présentes Conditions Générales d'utilisation.;;
75;CMS de TONNEINS;Centre Médico-Social;Accueil.CMSTonneins@lotetgaronne.fr;05.53.84.17.50;www.lotetgaronne.fr;;Le Bourg ( Mairie);47420;HOUEILLES;Tout public;Individuel;2ème Jeudi de 9h à 12h;Sur RV;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;Aucun;Non;Aucunes;;J’accepte les présentes Conditions Générales d'utilisation.;;
76;CMS de TONNEINS;Centre Médico-Social;Accueil.CMSTonneins@lotetgaronne.fr;05.53.84.17.50;www.lotetgaronne.fr;;"Maison de Santé Simone Veil "" Venteuilh""";47430;LE MAS d'AGENAIS;Tout public;Individuel;1er mardi de 9h à12h;Sur RV;Gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;Aucun;Non;Aucunes;;J’accepte les présentes Conditions Générales d'utilisation.;;
77;"""Les Lilas de la Tour""";Association;lilasdelatour1@orange.fr;638400080;;10;Place du Souvenir;47110;DOLMAYRAC;Tout public;Collectif;lundi : 14 h - 16 h et mardi : 14 h - 16 h;adhésion au club;16 €/an;Accès libre au matériel informatique, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), Formation visant l'autonomie numérique (apprendre à faire + certification);Ordinateur (fixe ou portable), Imprimante, Accés à internet;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Fiscalité (Impôts...), Loisir (Culture, sport, vie associative...);Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), bureautique;Animateur bénévole;J’accepte les présentes Conditions Générales d'utilisation.;"NOM : Club ""générations mouvement""";Cours d'initiation informatique aux adultes et aux enfants
78;COMMUNE DE SAINT SYLVESTRE SUR LOT;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);mairie@saintsylvestresurlot.com;05.53.41.24.58;saintsylvestresurlot.com ;1;Place de la Mairie;47140;SAINT-SYLVESTRE-SUR-LOT;Tout public;pas vraiment d'accompagnement, seulement réorientation vers aidants ;du lundi au vendredi 8h45/12h00  -  13h30/17h00;accueil ouvert au public sans rendez-vous;gratuité;Conseil et orientation vers un partenaire;pas d'accès libre;pas d'assistance ponctuelle, pas d'agent formé, pas de matériel disponible;aucune;;J’accepte les présentes Conditions Générales d'utilisation.;Mairie / CCAS;Orientation vers services connus d'accompagnement numérique, liens sur site internet. Pas de Matériel mis à dispo.
79;AIM47;Association;aim47@free.fr;553641493;aim47.free.fr;1113;avenue joiliot curie;47800;Miramont de Guyenne;Tout public;Individuel, Collectif;14h à 16h jeudi, vendredi, samedi;Adhésion;50€/an;Accès libre au matériel informatique, Assistance ponctuelle / coup de pouce (faire avec l'usager), Formation visant l'autonomie numérique (apprendre à faire + certification);Ordinateur (fixe ou portable), Accés à internet;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Emploi (Recherche d'emploi, création d'entreprise...), Loisir (Culture, sport, vie associative...);Découverte des compétences numériques de base, Culture et identité numérique, Insertion professionnelle (CV, emploi store, recherche d'emploi...), Utilisation de réseaux sociaux;;J’accepte les présentes Conditions Générales d'utilisation.;Formation aux techniques numériques et multimédia;Association Informatique de Miramont de Guyenne
80;Maison de la vie citoyenne intercommunale;Association;mvci.amicale@free.fr;553932495;www.amicalelaique-miramont.fr;18;Boulevard Jules ferry;47800;Miramont de Guyenne;Tout public;Individuel;mardi de 9h à 12 h ou sur rdv;prise de rdv;gratuit;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Accés à internet;Emploi (Recherche d'emploi, création d'entreprise...), Fiscalité (Impôts...), Loisir (Culture, sport, vie associative...);Insertion professionnelle (CV, emploi store, recherche d'emploi...), Utilisation de réseaux sociaux;;J’accepte les présentes Conditions Générales d'utilisation.;"Le projet associatif de l’Amicale Laïque s’inscrit dans le mouvement d’éducation populaire qui propose des lieux de participation citoyenne. Il porte de véritables projets sociaux, éducatifs et culturels, contribuant ainsi au développement local durable.
L’Amicale Laïque participe à la transformation sociale par la mise en œuvre de démarches spécifiques ayant pour objectifs d’améliorer la qualité de vie des personnes. 
Ces valeurs fondamentales sont déclinées en trois objectifs généraux dans le projet associatif :
1. Favoriser l’émancipation des individus
2. Entrainer à la vie collective et démocratique
3. Contribuer au développement local
";Accueil, initiation et recherche sur internet avec les usagers de la Maison de la Vie Citoyenne
81;Centre Medico Social Agen Louis Vivent;Centre Médico-Social;Accueil.CMSAgen@lotetgaronne.fr;553694041;www.lotetgaronne.fr;26;Louis Vivent;47000;AGEN;Tout public;Individuel;"Lundi au Jeudi : 8h30-12h00/13h30-17h00
Vendredi           : 8h30-11h45/13h30-17h00";sur rendez-vous;gratuit;Conseil et orientation vers un partenaire, Diagnostic des besoins numériques;;;;;J’accepte les présentes Conditions Générales d'utilisation.;;
82;commune de LAVARDAC;Bibliothèque / Médiathèque;mairie.lavardac@ville-lavardac.fr;553974151;www.ville-lavardac.fr;53;Avenue du Général de Gaulle;47230;47230;Tout public;Individuel;les lundis, mardis, mercredis et vendredis après midi de 14 h à 17 h et le samedi matin de 10 h à 12 h;prendre un abonnement à la bibliothèque municipale;Un particulier domicilié sur la commune 15 €/an - hors commune : 20 €;Accès libre au matériel informatique;Ordinateur (fixe ou portable), Accés à internet;Emploi (Recherche d'emploi, création d'entreprise...);Insertion professionnelle (CV, emploi store, recherche d'emploi...);;J’accepte les présentes Conditions Générales d'utilisation.;il s'agit de la bibliothèque municipale équipée d'un accès libre (ordinateur) pour les administrés;un ordinateur est à la disposition du public. Par ailleurs, le relais des services publics géré par Albret Communauté est présent sur la commune tous les lundis matins.
83;Commune de Monsempron-Libos;Commune (Mairie, CCAS, Centre Culturel, Centre Social...);accueil.monsempron@wanadoo.fr;553711156;www.monsempronlibos.fr;;Place de la Mairie;47500;MONSEMPRON-LIBOS;Tout public;Individuel;lundi au vendredi 8h30-12h et 14h-17h30;être résident de la commune;gratuité;Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager);;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...);;;J’accepte les présentes Conditions Générales d'utilisation.;collectivité territoriale 2120 habitants - ;aide aux démarches administratives pour les administrés de Monsempron-Libos. accès internet et aide à la connexion (ANTS, ...) 
84;Secours Catholique du Périgord-Agenais ;Association;perigordagenais@secours-catholique.org;553057929;http://perigordagenais.secours-catholique.org ;38;avenue Georges Pompidou ;24000;Périgueux ;Tout public;Individuel, Collectif;"Equipe de Miramont de Guyenne, 5 et 7 rue Philippeaux. Accompagnement solidaire en informatique (collectif 1 mardi par mois de 14h à 16h, individuel sur RDV lundi, mercredi, vendredi matin de 9h à 12h) 
Equipe de Nérac : accès à un poste informatique pour quelques démarches le lundi et jeudi après-midi de 14h30 à 17h, centre Samazeuilh, 12 rue François Baudy
Equipe de Tonneins : ateliers informatiques mercredi et vendredi de 14h à 17h, 23 cours de l'Yser 
Marmande : accès à un poste informatique pour quelques démarches jeudi et samedi de 9h à 12h mardi et vendredi de 14h30 à 17h30 
58 rue de la République 
Clairac : accès à un poste informatique pour quelques démarches le mardi de 14h à 17h et le jeudi de 9h à 12H 13 place Michel Serres 
Agen : accès à un poste informatique pour quelques démarches le mardi toute la journée et le jeudi de 9h à 12h rue de Contensou 
Fumel : accès un poste informatique pour quelques démarches le jeudi de 14h à 16h, 4 rue du Barry 
Villeneuve : accès à un poste informatique pour quelques démarches le mardi 14h 16h, 16 avenue de la myre mory ";"Accueil inconditionnel lors des accompagnements des personnes 
Pour l'équipe de Miramont de Guyenne tarif solidaire et prise de RDV avec l'équipe locale nécessaire ";"Gratuit pour les équipes mentionnées plus haut 
Equipe de Miramont de Guyenne : 50ct la 1/2h plus 1/4h gratuit 
3€ le cours collectif d'informatique ";Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Diagnostic des besoins numériques, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), Formation visant l'autonomie numérique (apprendre à faire + certification);Ordinateur (fixe ou portable), Imprimante, Accés à internet, Connexion WIFI;Citoyenneté - Etat-civil (Carte d'identité, acte de naissance, passeport...), Transport (Carte grise, permis de conduire, achat billet de train...), Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...), Emploi (Recherche d'emploi, création d'entreprise...), Retraite (Allocations retraite...), Justice (Dépôt de plainte, casier judiciaire...), Fiscalité (Impôts...), Etranger (Titres de séjour, attestation d'accueil, demande d'asile...), Loisir (Culture, sport, vie associative...);Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...);L'accompagnement sur des démarches spécifiques va se faire principalement et de façon régulière sur l'équipe de Miramont de Guyenne au cyber café. Sur les autres antennes d'accueil ont une capacité de réponse et d'accompagnement très temporaire et occasionnel. Il n'y a pas sur ces antennes d'activités spécifiques autour de l'inclusion numérique contrairement au cyber café ;J’accepte les présentes Conditions Générales d'utilisation.;"Le Secours Catholique appelle toute personne à s'engager pour vivre la rencontre, l'entraide et la joie de la fraternité. Ses acteurs travaillent à renforcer les capacités de tous à agir pour que chacun accède à des conditions de vie dignes. L'association lutte contre les causes de pauvreté, d'inégalité et d'exclusion et propose des alternatives au service du bien commun. 
Il y a 16 équipes locales dans le Lot et Garonne qui accueillent, accompagnent et proposent des temps de rencontre avec les personnes ayant l'expérience de la précarité. ";La lutte contre l'isolement dont la lutte contre la fracture numérique fait parti de nos priorités de notre projet de délégation. Nous souhaitons développer des projets autour de l'accès au numérique 
85;SAS ABCinfo47;Organisme de formation;contact@abcinfo47.fr;617021842;www.abcinfo47.fr;36;rue Saint ROCH;47210;VILLEREAL;Plus de 60 ans, Moins de 26 ans, Bénéficiaires du RSA, Personnes en recherche d'emploi, Personnes en situation de handicap, Personnes de nationalité étrangère, Professionnels;Individuel, Collectif;Du lundi au vendredi de 9h à 12 h et 14h à 18h;Prise de rendez vous ;tarifs établis suivant le nombre de personnes intéressés 30.00€ de l'heure pour 1 personne, 15.00€ de l' heure pour 2 personnes, 10.00€ de l' heure à partir de 3 personnes, plus de 8 personnes, devis possible;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Diagnostic des besoins numériques, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), Formation visant l'autonomie numérique (apprendre à faire + certification);Ordinateur (fixe ou portable), Imprimante, Scanner, Accés à internet, Connexion WIFI;Emploi (Recherche d'emploi, création d'entreprise...), Loisir (Culture, sport, vie associative...);Découverte des compétences numériques de base, Culture et identité numérique, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...), Insertion professionnelle (CV, emploi store, recherche d'emploi...), Utilisation de réseaux sociaux;Utilisation de wordpress, page pro facebook,hebergement internet....;J’accepte les présentes Conditions Générales d'utilisation.;"Structure comprenant 2 formateurs expérimentés en informatique et ses périphériques, située à Villeréal dans le Lot et Garonne entre Villeneuve et Bergerac.
";Des formations courtes ( 1 heure), ainsi que des formations plus longues ( 20 heures)son proposées.Les formations sont étudiées aussi bien pour les débutants que pour ceux plus habitués au numérique.
86;Mutualité sociale agricole  - site Agen ;Opérateur de service essentiel (CAF, MSA, CPAM, Pôle Emploi, Mission Locale, SNCF, SAUR,...);contact@dlg.msa.fr;553677777;dlg.msa.fr;1;quai du docteur Calabet ;47913;AGEN cedex 9;Tout public;Individuel, Collectif;du lundi au jeudi : 8h30 16h30, vendredi 8h30 15h30;accueil spontané ou possibilité sur RDV ;gratuit;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire), accompagnement social collectif : démarches en ligne, accès aux droits ;Ordinateur (fixe ou portable), Imprimante, Scanner, Accés à internet;Santé (Carte Vitale, handicap...), Social (Allocations familiales, RSA...), Retraite (Allocations retraite...);Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);action d'accompagnement réalisée par les travailleurs sociaux ;J’accepte les présentes Conditions Générales d'utilisation.;organisme de protection sociale des exploitants et salariés agricoles ( prestations familiales, santé , vieillesse et cotisations);"Accompagnement individuel ou collectrif des adhérents pour réaliser les démarches en ligne ; mise à dispo de bornes libre service."
87;Mutualité sociale agricole  Casteljaloux;Opérateur de service essentiel (CAF, MSA, CPAM, Pôle Emploi, Mission Locale, SNCF, SAUR,...);contact_ass.blf@dlg.msa.fr;553939456;dlg.msa.fr;32;avenue du 8 mai 1945;47700;Casteljaloux;Tout public;Individuel, Collectif;sur RDV ;Sur RDV ;gratuit;Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);;Social (Allocations familiales, RSA...);Découverte des compétences numériques de base, Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);"accompagnement social collectif ""coup de pouce connexion """;J’accepte les présentes Conditions Générales d'utilisation.;bureau de l'assistant social MSA ;Accès aux droits, accompagnement social individuel et collectif 
88;CAF;Opérateur de service essentiel (CAF, MSA, CPAM, Pôle Emploi, Mission Locale, SNCF, SAUR,...);frederic.galdini@caf.fr;810254710;www.caf.fr;1;Jean Louis Vincens;47000;AGEN;Tout public, Plus de 60 ans, Moins de 26 ans, Bénéficiaires du RSA, Personnes en recherche d'emploi, Personnes en situation de handicap, Personnes de nationalité étrangère;Individuel, Collectif;du lundi au vendredi de 8h30 à 16h00;Accès libre à l'espace numérique et rendez vous possible avec le service des prestations le service social et le service contentieux;0;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Imprimante, Borne Caf;Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...);;;J’accepte les présentes Conditions Générales d'utilisation.;Siège de la Caisse d'Allocation familiale de Lot et Garonne;La Caf propose aux allocataires un espace numérique en accès libre pour consulter leur compte caf.fr. Des agents peuvent les accompagner dans la réalisation de leurs démarches Caf dématérialisées. 
89;Caf (permanence de Villeneuve sur Lot);Opérateur de service essentiel (CAF, MSA, CPAM, Pôle Emploi, Mission Locale, SNCF, SAUR,...);frederic.galdini@caf.fr;810254710;www.caf.fr;10;rue des Silos;47300;Villeneuve sur Lot;Tout public, Plus de 60 ans, Moins de 26 ans, Bénéficiaires du RSA, Personnes en recherche d'emploi, Personnes en situation de handicap, Personnes de nationalité étrangère;Individuel;le mercredi et le vendredi de 9h00 à 12h00 et de 13h30 à 16h00;prise de rdv : https://wwwd.caf.fr/wps/portal/caffr/macaf/contactermacaf/prendreunrendezvous;0;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Imprimante;Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...);;;J’accepte les présentes Conditions Générales d'utilisation.;Permanence de la Caf de Lot et Garonne;La Caf propose aux allocataires un espace numérique en accès libre pour consulter leur compte caf.fr. Des agents peuvent les accompagner dans la réalisation de leurs démarches Caf dématérialisées.
90;Caf (permanence de Marmande);Opérateur de service essentiel (CAF, MSA, CPAM, Pôle Emploi, Mission Locale, SNCF, SAUR,...);frederic.galdini@caf.fr;810254710;www.caf.fr;17-19;V. Fourton;47200;MARMANDE;Tout public, Plus de 60 ans, Moins de 26 ans, Bénéficiaires du RSA, Personnes en recherche d'emploi, Personnes en situation de handicap, Personnes de nationalité étrangère;Individuel;le mardi de 9h00 à 12h00 et de 13h30 à 16h00;prise de rendez-vous : https://wwwd.caf.fr/wps/portal/caffr/macaf/contactermacaf/prendreunrendezvous;0;Accès libre au matériel informatique, Conseil et orientation vers un partenaire, Assistance ponctuelle / coup de pouce (faire avec l'usager), Accompagnement dans des démarches spécifiques (apprendre à faire);Ordinateur (fixe ou portable), Imprimante;Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...);Utilisation de services dématérialisés en ligne (Démarches administratives, démarches personnelles...);;J’accepte les présentes Conditions Générales d'utilisation.;Caf (permanence de Marmande);La Caf propose aux allocataires un espace numérique en accès libre pour consulter leur compte caf.fr. Des agents peuvent les accompagner dans la réalisation de leurs démarches Caf dématérialisées.
91;Caf (permanence de Tonneins);Opérateur de service essentiel (CAF, MSA, CPAM, Pôle Emploi, Mission Locale, SNCF, SAUR,...);frederic.galdini@caf.fr;810254710;www.caf.fr;9 bis (au CCAS);rue armand chabrier;47400; Tonneins;Tout public, Plus de 60 ans, Moins de 26 ans, Bénéficiaires du RSA, Personnes en recherche d'emploi, Personnes en situation de handicap, Personnes de nationalité étrangère;Individuel;le 2ème et 4ème lundi du mois de 9h00 à 12h00 et de 13h30 à 16h00 ;prise de rdv : https://wwwd.caf.fr/wps/portal/caffr/macaf/contactermacaf/prendreunrendezvous;0;pas d'offre d'inclusion numérique sur ce site uniquement rdv avec le service des prestations;;Social (Allocations familiales, RSA...), Logement (Allocation logement, permis de construire, fin de bail...);;;J’accepte les présentes Conditions Générales d'utilisation.;Caf (permanence de Tonneins);La Caf propose un rendez vous personnalisé avec le service des prestations aux allocataires et non allocataires.
